[2025-04-02 20:04:11,978] 14 root - INFO - Initiate the data ingestion
[2025-04-02 20:04:17,842] 65 root - INFO - Performed train test split on the dataframe
[2025-04-02 20:04:17,842] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class 
[2025-04-02 20:04:17,842] 74 root - INFO - Exporting train and test file path
[2025-04-02 20:04:18,023] 83 root - INFO - Exported train and test file path.
[2025-04-02 20:04:18,023] 16 root - INFO - Data Ingestion completed
[2025-04-02 20:04:18,048] 21 root - INFO - Initiate the data validation
[2025-04-02 20:04:18,177] 34 root - INFO - Required number of columns: 2
[2025-04-02 20:04:18,177] 35 root - INFO - Data frame as columns: 31
[2025-04-02 20:04:18,177] 34 root - INFO - Required number of columns: 2
[2025-04-02 20:04:18,177] 35 root - INFO - Data frame as columns: 31
[2025-04-02 20:04:18,592] 23 root - INFO - Data Validation completed
